distance,wf_squared
0.02,0.9805908312024284
0.04,0.9615583782382694
0.06,0.9428953293663236
0.08,0.9245945147602107
0.1,0.9066489037539209
0.12,0.8890516021408278
0.14,0.8717958495251249
0.16,0.8548750167246695
0.18,0.8382826032242334
0.2,0.8220122346781865
0.22,0.8060576604616486
0.24,0.7904127512691728
0.26,0.7750714967600363
0.28,0.7600280032492344
0.3,0.7452764914432886
0.32,0.7308112942200039
0.34,0.716626854451316
0.36,0.7027177228683976
0.38,0.6890785559681998
0.4,0.6757041139606261
0.42,0.6625892587555507
0.44,0.6497289519889063
0.46,0.6371182530870844
0.48,0.6247523173689031
0.5,0.6126263941844161
0.52,0.600735825089843
0.54,0.5890760420579257
0.56,0.5776425657230181
0.58,0.5664310036602378
0.6,0.5554370486980184
0.62,0.5446564772634134
0.64,0.5340851477595171
0.66,0.5237189989743767
0.68,0.5135540485207877
0.7000000000000001,0.5035863913063715
0.72,0.49381219803334614
0.74,0.48422771372741713
0.76,0.4748292562952194
0.78,0.4656132151097601
0.8,0.4565760496233147
0.8200000000000001,0.44771428800724733
0.84,0.4390245258182302
0.86,0.43050342469035024
0.88,0.4221477110526026
0.9,0.4139541748712741
0.92,0.40591966841673804
0.9400000000000001,0.3980411050541833
0.96,0.3903154580578147
0.98,0.38273975944806915
1,0.37531109885139946
1.02,0.36802662238219064
1.04,0.3608835315463744
1.06,0.3538790821663272
1.08,0.3470105833266312
1.1,0.3402753963403008
1.12,0.3336709337350713
1.1400000000000001,0.32719465825936395
1.16,0.3208440819075443
1.18,0.3146167649640988
1.2,0.30851031506636467
1.22,0.30252238628544964
1.24,0.2966506782249911
1.26,0.2908929351374082
1.28,0.28524694505730513
1.3,0.27971053895169623
1.32,0.2742815898867231
1.34,0.26895801221054527
1.36,0.2637377607520916
1.3800000000000001,0.2586188300353607
1.4000000000000001,0.25359925350897383
1.42,0.2486771027906801
1.44,0.24385048692652464
1.46,0.23911755166439774
1.48,0.23447647874168137
1.5,0.2299254851867239
1.52,0.2254628226338712
1.54,0.22108677665179338
1.56,0.21679566608484774
1.58,0.21258784240722495
1.6,0.20846168908963159
1.62,0.20441562097826396
1.6400000000000001,0.20044808368583636
1.6600000000000001,0.1965575529944283
1.68,0.19274253426992183
1.7,0.18900156188780512
1.72,0.18533319867012005
1.74,0.18173603533333785
1.76,0.1782086899469516
1.78,0.17474980740257715
1.8,0.17135805889335742
1.82,0.16803214140347197
1.84,0.16477077720755454
1.86,0.16157271337982604
1.8800000000000001,0.15843672131275532
1.9000000000000001,0.15536159624506227
1.92,0.15234615679888172
1.94,0.14938924452591087
1.96,0.14648972346236577
1.98,0.14364647969257516
2,0.140858420921045
